predicted_price,predicted_vol
255.46136,84133.75
253.34973,99684.65
252.44379,106254.9
252.06604,107427.75
251.91205,105417.34
251.85219,101622.516
251.82767,96954.04
251.80832,92015.47
251.77696,87208.76
251.7235,82800.47
251.64336,78964.01
251.53746,75805.08
251.41191,73373.875
251.27632,71668.34
251.14117,70635.66
251.01523,70180.016
250.90414,70179.43
250.81061,70506.53
250.73518,71045.96
250.67703,71704.14
250.63463,72411.54
250.60603,73120.24
250.58905,73799.555
250.58151,74431.37
250.58127,75006.31
250.5864,75520.81
250.59523,75974.984
250.60635,76371.17
250.61867,76713.02
250.63136,77004.87
250.64384,77251.33
250.6557,77457.02
250.66667,77626.45
250.67665,77763.91
250.6856,77873.39
250.69347,77958.59
250.70036,78022.914
250.70631,78069.41
250.71144,78100.85
250.71577,78119.73
250.71944,78128.24
250.72249,78128.34
250.725,78121.766
250.72707,78110.0
250.72871,78094.336
250.73003,78075.91
250.73103,78055.65
250.73178,78034.38
250.73233,78012.73
250.7327,77991.26
